id,Dates,total_time,label_description
1,2018-08-06,30,Admin Time - PP
2,2018-08-06,30,Admin Time - Research
3,2018-08-06,15,Admin Time - PP
4,2018-08-07,15,Admin Time - Coffee
5,2018-08-07,30,Admin Time
6,2018-08-07,30,Admin Time - PP
7,2018-08-07,30,Admin Time - Q2 Briefing
8,2018-08-07,15,Admin Time - Promote 1 on 1
9,2018-08-07,30,Team Time - All Hands Follow up meeting
10,2018-08-07,120,Queue Manager
11,2018-08-08,15,Admin Time - PP
12,2018-08-08,15,Admin Time - Coffee
13,2018-08-08,15,Admin Time - 1 on 1 w/ Cara
14,2018-08-08,60,Admin Time - Time w/ Hoss
15,2018-08-08,30,Admin Time - Promote 1 on 1
16,2018-08-08,60,Admin Time - Research
17,2018-08-09,15,Admin Time - Coffee
18,2018-08-09,45,Admin Time - Pulse Surveys
19,2018-08-09,30,Admin Time - PP
20,2018-08-09,30,Admin Time - Brewing Built
21,2018-08-10,30,CS Stand Up
22,2018-08-10,15,Admin Time - 1 on 1 w/ Paul
23,2018-08-10,30,Admin Time - 1 on 1 w/ Brian H
24,2018-08-10,15,Admin Time - 1 on 1 w/ Emily
25,2018-08-10,120,Queue Manager
